Pixel FlatCorrection LaserCorrection TotalCorrection
0 1.0159 0.9833 0.9989
1 1.0147 0.9832 0.9977
2 1.0165 0.9811 0.9973
3 1.0152 0.9811 0.9960
4 1.0177 0.9812 0.9986
5 1.0190 0.9812 0.9998
6 1.0185 0.9833 1.0015
7 1.0172 0.9833 1.0002
8 1.0158 0.9790 0.9945
9 1.0165 0.9768 0.9929
10 1.0177 0.9768 0.9941
11 1.0170 0.9790 0.9956
12 1.0190 0.9768 0.9954
13 1.0203 0.9768 0.9966
14 1.0196 0.9790 0.9982
15 1.0183 0.9790 0.9969
16 1.0204 0.9723 0.9921
17 1.0197 0.9745 0.9937
18 1.0210 0.9745 0.9950
19 1.0217 0.9723 0.9934
20 1.0172 0.9745 0.9913
21 1.0191 0.9723 0.9909
22 1.0179 0.9722 0.9896
23 1.0184 0.9745 0.9924
24 1.0221 0.9675 0.9889
25 1.0234 0.9675 0.9901
26 1.0225 0.9699 0.9917
27 1.0212 0.9699 0.9905
28 1.0196 0.9675 0.9865
29 1.0187 0.9699 0.9880
30 1.0208 0.9675 0.9876
31 1.0199 0.9699 0.9892
32 1.0147 0.9790 0.9934
33 1.0153 0.9767 0.9916
34 1.0142 0.9767 0.9906
35 1.0136 0.9789 0.9922
36 1.0120 0.9811 0.9929
37 1.0104 0.9832 0.9934
38 1.0110 0.9811 0.9919
39 1.0114 0.9832 0.9944
40 1.0125 0.9832 0.9955
41 1.0141 0.9811 0.9949
42 1.0130 0.9811 0.9939
43 1.0136 0.9832 0.9966
44 1.0115 0.9789 0.9902
45 1.0122 0.9767 0.9886
46 1.0125 0.9789 0.9911
47 1.0132 0.9767 0.9896
48 1.0163 0.9675 0.9833
49 1.0153 0.9675 0.9823
50 1.0154 0.9699 0.9848
51 1.0144 0.9699 0.9839
52 1.0146 0.9722 0.9864
53 1.0139 0.9745 0.9880
54 1.0136 0.9722 0.9854
55 1.0129 0.9745 0.9871
56 1.0176 0.9699 0.9870
57 1.0165 0.9699 0.9859
58 1.0184 0.9675 0.9853
59 1.0173 0.9675 0.9842
60 1.0160 0.9745 0.9901
61 1.0168 0.9722 0.9885
62 1.0149 0.9745 0.9890
63 1.0157 0.9722 0.9875
64 1.0119 0.9858 0.9975
65 1.0130 0.9858 0.9986
66 1.0115 0.9878 0.9992
67 1.0126 0.9879 1.0003
68 1.0104 0.9878 0.9981
69 1.0095 0.9878 0.9972
70 1.0099 0.9858 0.9956
71 1.0108 0.9858 0.9964
72 1.0122 0.9898 1.0019
73 1.0120 0.9917 1.0036
74 1.0109 0.9917 1.0025
75 1.0111 0.9898 1.0008
76 1.0098 0.9917 1.0014
77 1.0088 0.9917 1.0004
78 1.0091 0.9898 0.9988
79 1.0101 0.9898 0.9998
80 1.0094 0.9954 1.0048
81 1.0096 0.9936 1.0031
82 1.0086 0.9936 1.0021
83 1.0084 0.9954 1.0038
84 1.0117 0.9936 1.0052
85 1.0104 0.9954 1.0058
86 1.0115 0.9954 1.0068
87 1.0106 0.9936 1.0041
88 1.0092 0.9989 1.0081
89 1.0082 0.9989 1.0071
90 1.0083 0.9972 1.0055
91 1.0093 0.9972 1.0065
92 1.0114 0.9989 1.0103
93 1.0114 0.9972 1.0086
94 1.0103 0.9989 1.0092
95 1.0103 0.9972 1.0075
96 1.0134 0.9898 1.0031
97 1.0131 0.9917 1.0047
98 1.0143 0.9918 1.0060
99 1.0146 0.9898 1.0043
100 1.0162 0.9879 1.0039
101 1.0179 0.9859 1.0035
102 1.0175 0.9879 1.0052
103 1.0166 0.9859 1.0023
104 1.0154 0.9858 1.0010
105 1.0137 0.9879 1.0014
106 1.0149 0.9879 1.0026
