run_number fw_pos fw_atten pe_expected n_events
43461 3025 1 2533.66 1000
43462 2971 1.12202 2258.13 1000
43463 2957 1.25893 2012.56 1000
43464 2938 1.41254 1793.70 1000
43465 2907 1.58489 1598.63 1000
43466 2871 1.77828 1424.78 1000
43467 2837 1.99526 1269.84 1000
43468 2809 2.23872 1131.75 1000
43469 2782 2.51189 1008.67 1000
43470 2756 2.81838 898.98 1000
43471 2728 3.16228 801.21 1000
43472 2701 3.54813 714.08 1000
43473 2666 3.98107 636.43 1000
43474 2635 4.46684 567.22 1000
43475 2605 5.01187 505.53 1000
43476 2572 5.62341 450.56 1000
43477 2543 6.30957 401.56 1000
43478 2514 7.07946 357.89 1000
43479 2484 7.94328 318.97 1000
43480 2453 8.91251 284.28 1000
43481 2421 10 253.37 1000
43482 2391 11.2202 225.81 1000
43483 2360 12.5893 201.26 1000
43484 2329 14.1254 179.37 1000
43485 2301 15.8489 159.86 1000
43486 2272 17.7828 142.48 1000
43487 2242 19.9526 126.98 1000
43488 2211 22.3872 113.17 1000
43489 2186 25.1189 100.87 1000
43490 2161 28.1838 89.90 1000
43491 2134 31.6228 80.12 1000
43492 2106 35.4813 71.41 1000
43493 2078 39.8107 63.64 1000
43494 2050 44.6684 56.72 1000
43495 2024 50.1187 50.55 1000
43496 1991 56.2341 45.06 1000
43497 1962 63.0957 40.16 1000
43498 1938 70.7946 35.79 1000
43499 1911 79.4328 31.90 1000
43500 1880 89.1251 28.43 1000
43501 1853 100 25.34 1000
43502 1795 125.893 20.13 1000
43503 1744 158.489 15.99 1000
43504 1689 199.526 12.70 1000
43505 1633 251.189 10.09 1000
43506 1573 316.228 8.01 1000
43507 1521 398.107 6.36 1000
43508 1465 501.187 5.06 1000
43509 1417 630.957 4.02 10000
43510 1358 794.328 3.19 10000
43511 1280 1000 2.53 10000
43512 1190 1291.55 1.96 10000
43513 1103 1668.1 1.52 10000
43514 1016 2154.43 1.18 10000
43515 905 2782.56 0.91 10000
43516 815 3593.81 0.71 10000
43517 720 4641.59 0.55 10000
43518 630 5994.84 0.42 10000
43519 547 7742.64 0.33 10000
43520 460 10000 0.25 10000
