run_number fw_pos fw_atten pe_expected n_events fw_trans
4169 3682 6.64636 989.89942 0 0.15046
4168 3455 16.73438 393.15642 0 0.05976
4167 3240 42.20761 155.87783 0 0.02369
4166 3050 93.22665 70.57242 0 0.01073
3994 2850 135.94363 48.39675 0 0.00736
3993 2650 368.75743 17.84162 0 0.00271
3992 2450 941.49336 6.98808 0 0.00106
3991 2250 2183.89833 3.01261 0 0.00046
3990 2050 5047.87865 1.30337 0 0.00020
3989 1850 11599.58759 0.56720 0 0.00009
3988 1650 25665.07525 0.25635 0 0.00004
3987 1450 51603.90914 0.12749 0 0.00002
3986 1250 100437.93127 0.06551 0 0.00001
