run_number fw_pos fw_atten pe_expected n_events fw_trans
43461 3025 1.00000 2533.66000 1000 1.00000
43462 2971 1.26220 2007.33040 1000 0.79227
43463 2957 1.34075 1889.73153 1000 0.74585
43464 2938 1.45523 1741.07515 1000 0.68718
43465 2907 1.66336 1523.21676 1000 0.60119
43466 2871 1.94270 1304.19359 1000 0.51475
43467 2837 2.24947 1126.33596 1000 0.44455
43468 2809 2.53815 998.22960 1000 0.39399
43469 2782 2.85156 888.51693 1000 0.35069
43470 2756 3.18988 794.28021 1000 0.31349
43471 2728 3.59925 703.94096 1000 0.27784
43472 2701 4.04368 626.57274 1000 0.24730
43473 2666 4.70244 538.79632 1000 0.21266
43474 2635 5.37501 471.37746 1000 0.18605
43475 2605 6.11734 414.17680 1000 0.16347
43476 2572 7.05284 359.23978 1000 0.14179
43477 2543 7.99234 317.01087 1000 0.12512
43478 2514 9.05700 279.74600 1000 0.11041
43479 2484 10.30784 245.79941 1000 0.09701
43480 2453 11.78212 215.04286 1000 0.08487
43481 2421 13.52545 187.32531 1000 0.07393
43482 2391 15.39341 164.59378 1000 0.06496
43483 2360 17.59506 143.99838 1000 0.05683
43484 2329 20.11160 125.98006 1000 0.04972
43485 2301 22.69259 111.65143 1000 0.04407
43486 2272 25.71546 98.52672 1000 0.03889
43487 2242 29.26694 86.57071 1000 0.03417
43488 2211 33.45285 75.73823 1000 0.02989
43489 2186 37.26082 67.99797 1000 0.02684
43490 2161 41.50224 61.04875 1000 0.02410
43491 2134 46.62687 54.33905 1000 0.02145
43492 2106 52.61067 48.15868 1000 0.01901
43493 2078 59.36238 42.68124 1000 0.01685
43494 2050 66.98057 37.82679 1000 0.01493
43495 2024 74.92742 33.81486 1000 0.01335
43496 1991 86.38575 29.32960 1000 0.01158
43497 1962 97.89317 25.88189 1000 0.01022
43498 1938 108.56725 23.33724 1000 0.00921
43499 1911 123.21316 20.56323 1000 0.00812
43500 1880 140.68507 18.00944 1000 0.00711
43501 1853 157.40954 16.09597 1000 0.00635
43502 1795 200.62301 12.62896 1000 0.00498
43503 1744 247.55249 10.23484 1000 0.00404
43504 1689 314.27796 8.06184 1000 0.00318
43505 1633 394.00115 6.43059 1000 0.00254
43506 1573 497.87038 5.08900 1000 0.00201
43507 1521 607.62356 4.16979 1000 0.00165
43508 1465 747.24357 3.39067 1000 0.00134
43509 1417 881.92989 2.87286 10000 0.00113
43510 1358 1069.81900 2.36831 10000 0.00093
43511 1280 1355.37281 1.86935 10000 0.00074
43512 1190 1788.23525 1.41685 10000 0.00056
43513 1103 2319.45512 1.09235 10000 0.00043
43514 1016 2986.42575 0.84839 10000 0.00033
43515 905 4084.86924 0.62025 10000 0.00024
43516 815 5298.42058 0.47819 10000 0.00019
43517 720 6909.04454 0.36672 10000 0.00014
43518 630 8699.75959 0.29123 10000 0.00011
43519 547 11340.72510 0.22341 10000 0.00009
43520 460 14708.03492 0.17226 10000 0.00007
