run_number fw_pos fw_atten pe_expected n_events fw_trans
43461 3025 1.00000 2533.66000 1000 1.00000
43462 2971 1.26221 2007.32781 1000 0.79226
43463 2957 1.34075 1889.72847 1000 0.74585
43464 2938 1.45523 1741.07154 1000 0.68718
43465 2907 1.66337 1523.21247 1000 0.60119
43466 2871 1.94271 1304.18879 1000 0.51474
43467 2837 2.24948 1126.33090 1000 0.44455
43468 2809 2.53817 998.22445 1000 0.39399
43469 2782 2.85158 888.51178 1000 0.35068
43470 2756 3.18990 794.27510 1000 0.31349
43471 2728 3.59928 703.93597 1000 0.27783
43472 2701 4.04371 626.56790 1000 0.24730
43473 2666 4.70249 538.79170 1000 0.21265
43474 2635 5.37506 471.37307 1000 0.18604
43475 2605 6.11740 414.17265 1000 0.16347
43476 2572 7.05291 359.23590 1000 0.14179
43477 2543 7.99244 317.00722 1000 0.12512
43478 2514 9.05711 279.74258 1000 0.11041
43479 2484 10.30797 245.79624 1000 0.09701
43480 2453 11.78228 215.03992 1000 0.08487
43481 2421 13.52565 187.32261 1000 0.07393
43482 2391 15.39365 164.59129 1000 0.06496
43483 2360 17.59534 143.99609 1000 0.05683
43484 2329 20.11193 125.97796 1000 0.04972
43485 2301 22.69298 111.64950 1000 0.04407
43486 2272 25.71592 98.52495 1000 0.03889
43487 2242 29.26749 86.56909 1000 0.03417
43488 2211 33.45350 75.73676 1000 0.02989
43489 2186 37.26156 67.99661 1000 0.02684
43490 2161 41.50310 61.04749 1000 0.02409
43491 2134 46.62787 54.33789 1000 0.02145
43492 2106 52.61182 48.15762 1000 0.01901
43493 2078 59.36372 42.68027 1000 0.01685
43494 2050 66.98213 37.82591 1000 0.01493
43495 2024 74.92921 33.81405 1000 0.01335
43496 1991 86.38789 29.32888 1000 0.01158
43497 1962 97.89566 25.88123 1000 0.01021
43498 1938 108.57007 23.33663 1000 0.00921
43499 1911 123.21607 20.56274 1000 0.00812
43500 1880 140.68841 18.00902 1000 0.00711
43501 1853 157.41327 16.09559 1000 0.00635
43502 1795 200.62771 12.62866 1000 0.00498
43503 1744 247.55823 10.23460 1000 0.00404
43504 1689 314.28516 8.06166 1000 0.00318
43505 1633 394.01009 6.43044 1000 0.00254
43506 1573 497.88153 5.08888 1000 0.00201
43507 1521 607.63710 4.16969 1000 0.00165
43508 1465 747.26019 3.39060 1000 0.00134
43509 1417 881.94940 2.87280 10000 0.00113
43510 1358 1069.84258 2.36825 10000 0.00093
43511 1280 1355.40267 1.86930 10000 0.00074
43512 1190 1788.27436 1.41682 10000 0.00056
43513 1103 2319.50573 1.09233 10000 0.00043
43514 1016 2986.49061 0.84837 10000 0.00033
43515 905 4084.95774 0.62024 10000 0.00024
43516 815 5298.53614 0.47818 10000 0.00019
43517 720 6909.19425 0.36671 10000 0.00014
43518 630 8699.94875 0.29123 10000 0.00011
43519 547 11340.97066 0.22341 10000 0.00009
43520 460 14708.35476 0.17226 10000 0.00007
