run_number fw_pos fw_atten pe_expected n_events fw_trans
43461 3025 1.00000 2533.66000 1000 1.00000
43462 2971 1.26766 1998.68372 1000 0.78885
43463 2957 1.34806 1879.48675 1000 0.74181
43464 2938 1.46538 1729.00810 1000 0.68242
43465 2907 1.67913 1508.91562 1000 0.59555
43466 2871 1.96677 1288.23605 1000 0.50845
43467 2837 2.28353 1109.53476 1000 0.43792
43468 2809 2.58236 981.14071 1000 0.38724
43469 2782 2.90750 871.42330 1000 0.34394
43470 2756 3.25922 777.38208 1000 0.30682
43471 2728 3.68573 687.42434 1000 0.27132
43472 2701 4.14978 610.55217 1000 0.24098
43473 2666 4.83936 523.55313 1000 0.20664
43474 2635 5.54523 456.90792 1000 0.18034
43475 2605 6.32622 400.50145 1000 0.15807
43476 2572 7.31293 346.46315 1000 0.13674
43477 2543 8.30631 305.02817 1000 0.12039
43478 2514 9.43464 268.54857 1000 0.10599
43479 2484 10.76341 235.39555 1000 0.09291
43480 2453 12.33338 205.43109 1000 0.08108
43481 2421 14.19455 178.49523 1000 0.07045
43482 2391 16.19371 156.45953 1000 0.06175
43483 2360 18.55574 136.54316 1000 0.05389
43484 2329 21.26231 119.16203 1000 0.04703
43485 2301 24.04474 105.37274 1000 0.04159
43486 2272 27.31097 92.77077 1000 0.03662
43487 2242 31.15744 81.31798 1000 0.03210
43488 2211 35.70211 70.96668 1000 0.02801
43489 2186 39.84566 63.58685 1000 0.02510
43490 2161 44.47010 56.97446 1000 0.02249
43491 2134 50.06916 50.60321 1000 0.01997
43492 2106 56.62131 44.74747 1000 0.01766
43493 2078 64.03089 39.56934 1000 0.01562
43494 2050 72.41010 34.99042 1000 0.01381
43495 2024 81.16967 31.21437 1000 0.01232
43496 1991 93.82981 27.00272 1000 0.01066
43497 1962 106.57563 23.77335 1000 0.00938
43498 1938 118.42342 21.39492 1000 0.00844
43499 1911 134.18470 18.88188 1000 0.00745
43500 1880 153.07790 16.55144 1000 0.00653
43501 1853 170.96458 14.81979 1000 0.00585
43502 1795 217.92593 11.62624 1000 0.00459
43503 1744 269.09519 9.41548 1000 0.00372
43504 1689 341.68137 7.41527 1000 0.00293
43505 1633 428.56377 5.91198 1000 0.00233
43506 1573 543.54286 4.66138 1000 0.00184
43507 1521 662.24404 3.82587 1000 0.00151
43508 1465 814.05026 3.11241 1000 0.00123
43509 1417 962.32665 2.63285 10000 0.00104
43510 1358 1170.43443 2.16472 10000 0.00085
43511 1280 1488.14545 1.70256 10000 0.00067
43512 1190 1975.27953 1.28268 10000 0.00051
43513 1103 2574.65229 0.98408 10000 0.00039
43514 1016 3326.41828 0.76168 10000 0.00030
43515 905 4572.01844 0.55417 10000 0.00022
43516 815 5953.28378 0.42559 10000 0.00017
43517 720 7761.06801 0.32646 10000 0.00013
43518 630 9820.21429 0.25800 10000 0.00010
43519 547 12953.78131 0.19559 10000 0.00008
43520 460 16948.62123 0.14949 10000 0.00006
